simFolder,doGraphs,numRepeats,numScenarios,numPolicies
2019_04_15-12_20_05,0,1,1,1
2019_04_15-15_01_58,0,1,1,3
2019_04_16-15_28_21,0,1,1,3
2019_04_17-11_03_48,0,1,1,3
2019_04_17-12_29_45,0,1,1,3
2019_04_17-12_33_52,0,1,1,3
2019_04_17-12_46_56,0,1,1,3
2019_04_17-13_07_34,0,1,1,3
2019_04_17-13_08_46,0,1,1,1
2019_04_17-13_12_15,0,1,1,1
2019_04_17-13_18_05,0,1,1,1
2019_04_17-14_39_59,0,1,1,1
2019_04_17-14_53_09,0,1,1,1
2019_04_17-14_53_48,0,1,1,3
2019_04_23-10_14_34,0,1,81,1
2019_04_23-12_41_46,0,1,81,1
2019_04_23-13_27_01,0,1,1,3
2019_04_23-17_04_05,0,1,1,3
2019_04_25-10_44_37,0,1,1,3
2019_04_30-13_55_32,0,1,1,1
2019_04_30-13_58_11,0,1,1,1
2019_04_30-14_02_00,0,1,1,1
2019_04_30-15_18_11,0,1,1,3
2019_04_30-16_30_50,0,1,1,3
2019_05_02-11_09_17,0,1,1,3
2019_05_02-11_17_08,0,1,1,3
sensitivitySim_H,0,1,81,1
sensitivitySim_M,0,1,81,1
2019_05_09-17_01_09,0,2,1,3
2019_05_10-11_48_32,0,2,1,3
sensitivitySim_L,0,1,81,1
2019_11_20-14_13_38,1,10,1,3